symbol,name,yahoo_symbol
BANARBEADS,Banaras Beads Limited,BANARBEADS.NS
BANARISUG,Bannari Amman Sugars Limited,BANARISUG.NS
BANCOINDIA,Banco Products (I) Limited,BANCOINDIA.NS
BANDHANBNK,Bandhan Bank Limited,BANDHANBNK.NS
BANG,Bang Overseas Limited,BANG.NS
BANKA,Banka BioLoo Limited,BANKA.NS
BANKBARODA,Bank of Baroda,BANKBARODA.NS
BANKINDIA,Bank of India,BANKINDIA.NS
BANSALWIRE,Bansal Wire Industries Limited,BANSALWIRE.NS
BANSWRAS,Banswara Syntex Limited,BANSWRAS.NS
BASF,BASF India Limited,BASF.NS
BASML,Bannari Amman Spinning Mills Limited,BASML.NS
BATAINDIA,Bata India Limited,BATAINDIA.NS
BAYERCROP,Bayer Cropscience Limited,BAYERCROP.NS
BBL,Bharat Bijlee Limited,BBL.NS
BBOX,Black Box Limited,BBOX.NS
BBTC,Bombay Burmah Trading Corporation Limited,BBTC.NS
BBTCL,B&B Triplewall Containers Limited,BBTCL.NS
BCG,Brightcom Group Limited,BCG.NS
BCLIND,Bcl Industries Limited,BCLIND.NS
BCONCEPTS,Brand Concepts Limited,BCONCEPTS.NS
BDL,Bharat Dynamics Limited,BDL.NS
BEARDSELL,Beardsell Limited,BEARDSELL.NS
BECTORFOOD,Mrs. Bectors Food Specialities Limited,BECTORFOOD.NS
BEDMUTHA,Bedmutha Industries Limited,BEDMUTHA.NS
BEL,Bharat Electronics Limited,BEL.NS
BELLACASA,Bella Casa Fashion & Retail Limited,BELLACASA.NS
BELRISE,Belrise Industries Limited,BELRISE.NS
BEML,BEML Limited,BEML.NS
BEPL,Bhansali Engineering Polymers Limited,BEPL.NS
BERGEPAINT,Berger Paints (I) Limited,BERGEPAINT.NS
BESTAGRO,Best Agrolife Limited,BESTAGRO.NS
BFINVEST,BF Investment Limited,BFINVEST.NS
BFUTILITIE,BF Utilities Limited,BFUTILITIE.NS
BGRENERGY,BGR Energy Systems Limited,BGRENERGY.NS
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,BHAGCHEM.NS
BHAGERIA,Bhageria Industries Limited,BHAGERIA.NS
BHAGYANGR,Bhagyanagar India Limited,BHAGYANGR.NS
BHANDARI,Bhandari Hosiery Exports Limited,BHANDARI.NS
BHARATFORG,Bharat Forge Limited,BHARATFORG.NS
BHARATGEAR,Bharat Gears Limited,BHARATGEAR.NS
BHARATRAS,Bharat Rasayan Limited,BHARATRAS.NS
BHARATSE,Bharat Seats Limited,BHARATSE.NS
BHARATWIRE,Bharat Wire Ropes Limited,BHARATWIRE.NS
BHARTIARTL,Bharti Airtel Limited,BHARTIARTL.NS
BHARTIHEXA,Bharti Hexacom Limited,BHARTIHEXA.NS
BHEL,Bharat Heavy Electricals Limited,BHEL.NS
BIGBLOC,Bigbloc Construction Limited,BIGBLOC.NS
BIKAJI,Bikaji Foods International Limited,BIKAJI.NS
BIL,Bhartiya International Limited,BIL.NS
BILVYAPAR,BIL VYAPAR LIMITED,BILVYAPAR.NS
BIOCON,Biocon Limited,BIOCON.NS
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM.NS
BIRLACABLE,Birla Cable Limited,BIRLACABLE.NS
BIRLACORPN,Birla Corporation Limited,BIRLACORPN.NS
BIRLAMONEY,Aditya Birla Money Limited,BIRLAMONEY.NS
BIRLANU,BirlaNu Limited,BIRLANU.NS
BLACKBUCK,BLACKBUCK LIMITED,BLACKBUCK.NS
BLAL,BEML Land Assets Limited,BLAL.NS
BLBLIMITED,BLB Limited,BLBLIMITED.NS
BLISSGVS,Bliss GVS Pharma Limited,BLISSGVS.NS
BLKASHYAP,B. L. Kashyap and Sons Limited,BLKASHYAP.NS
BLS,BLS International Services Limited,BLS.NS
BLSE,BLS E-Services Limited,BLSE.NS
BLUECOAST,Blue Coast Hotels Limited,BLUECOAST.NS
BLUEDART,Blue Dart Express Limited,BLUEDART.NS
BLUEJET,Blue Jet Healthcare Limited,BLUEJET.NS
BLUESTARCO,Blue Star Limited,BLUESTARCO.NS
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,BLUESTONE.NS
BLUSPRING,Bluspring Enterprises Limited,BLUSPRING.NS
BMWVENTLTD,BMW Ventures Limited,BMWVENTLTD.NS
BODALCHEM,Bodal Chemicals Limited,BODALCHEM.NS
BOHRAIND,Bohra Industries Limited,BOHRAIND.NS
BOMDYEING,Bombay Dyeing & Mfg Company Limited,BOMDYEING.NS
BORANA,Borana Weaves Limited,BORANA.NS
BOROLTD,Borosil Limited,BOROLTD.NS
BORORENEW,BOROSIL RENEWABLES LIMITED,BORORENEW.NS
